rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
610,A5100406022,Jin Zhang,Jin Zhang,2,144,1.39,2010,2025,2.5,https://orcid.org/0000-0003-4871-6318,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100406022,1,Profile count,2,0
611,A5100612612,Jin Zhang,Jin Zhang,2,238,0.84,2010,2021,0.5,https://orcid.org/0000-0001-7574-2808,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100612612,1,Profile count,2,0
612,A5039796943,Jing Chen,Jing Chen,2,2,100.0,2023,2023,1.0,https://orcid.org/0000-0002-9757-6027,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5039796943,1,Profile count,2,0
613,A5100394815,Jing Chen,Jing Chen,2,192,1.04,2012,2012,0.0,https://orcid.org/0000-0001-6914-6233,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100394815,1,Profile count,2,0
614,A5100659048,Jing Chen,Jing Chen,2,502,0.4,2010,2025,2.5,https://orcid.org/0000-0001-9298-2651,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100659048,1,Profile count,2,0
615,A5112114445,Jing Chen,Jing Chen,2,63,3.17,2012,2013,0.0,https://orcid.org/0009-0002-4016-1813,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5112114445,1,Profile count,2,0
616,A5100336803,Jing Li,Jing Li,2,134,1.49,2020,2023,2.0,https://orcid.org/0000-0001-8331-1661,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100336803,1,Profile count,2,0
617,A5100336858,Jing Li,Jing Li,2,143,1.4,2021,2023,6.0,https://orcid.org/0000-0002-0079-693x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100336858,1,Profile count,2,0
618,A5100336946,Jing Li,Jing Li,2,274,0.73,2023,2024,2.0,https://orcid.org/0000-0002-5381-4716,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100336946,1,Profile count,2,0
619,A5100337152,Jing Li,Jing Li,2,146,1.37,2019,2024,5.5,https://orcid.org/0009-0007-3236-9637,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100337152,1,Profile count,2,0
620,A5100337858,Jing Li,Jing Li,2,55,3.64,2025,2026,11.0,https://orcid.org/0000-0002-3295-5632,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100337858,1,Profile count,2,0
621,A5100402578,Jing Li,Jing Li,2,415,0.48,2023,2025,4.5,https://orcid.org/0000-0003-1350-7460,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100402578,1,Profile count,2,0
622,A5038517767,Jing Liu,Jing Liu,2,129,1.55,2010,2010,0.0,https://orcid.org/0000-0002-9918-8642,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5038517767,1,Profile count,2,0
623,A5100374938,Jing Liu,Jing Liu,2,92,2.17,2023,2024,2.0,https://orcid.org/0000-0001-7843-3883,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100374938,1,Profile count,2,0
624,A5100375038,Jing Liu,Jing Liu,2,591,0.34,2025,2025,2.0,https://orcid.org/0000-0002-6834-5350,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100375038,1,Profile count,2,0
625,A5100375042,Jing Liu,Jing Liu,2,81,2.47,2013,2024,1.0,https://orcid.org/0000-0002-7301-0125,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100375042,1,Profile count,2,0
626,A5100375065,Jing Liu,Jing Liu,2,507,0.39,2011,2022,1.5,https://orcid.org/0000-0002-8740-4600,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100375065,1,Profile count,2,0
627,A5100375136,Jing Liu,Jing Liu,2,630,0.32,2023,2026,2.5,https://orcid.org/0000-0003-4690-1886,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100375136,1,Profile count,2,0
628,A5100687713,Jing Liu,Jing Liu,2,340,0.59,2024,2024,3.5,https://orcid.org/0000-0002-6730-9198,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100687713,1,Profile count,2,0
629,A5101446656,Jing Liu,Jing Liu,2,159,1.26,2016,2023,1.0,https://orcid.org/0000-0002-8181-8159,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101446656,1,Profile count,2,0
630,A5114860112,Jing Liu,Jing Liu,2,56,3.57,2010,2011,0.0,https://orcid.org/0009-0004-7396-1846,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5114860112,1,Profile count,2,0
631,A5115588071,Jing Liu,Jing Liu,2,361,0.55,2010,2023,0.5,https://orcid.org/0009-0009-3229-2291,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115588071,1,Profile count,2,0
632,A5028389743,Jing Wang,Jing Wang,2,385,0.52,2011,2022,0.5,https://orcid.org/0000-0002-2407-5985,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5028389743,1,Profile count,2,0
633,A5068132266,Jing Wang,Jing Wang,2,117,1.71,2011,2023,1.0,https://orcid.org/0000-0001-6351-6758,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5068132266,1,Profile count,2,0
634,A5071018015,Jing Wang,Jing Wang,2,62,3.23,2020,2021,1.0,https://orcid.org/0000-0002-0790-100x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5071018015,1,Profile count,2,0
635,A5100378428,Jing Wang,Jing Wang,2,163,1.23,2021,2023,3.5,https://orcid.org/0000-0002-0398-862x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378428,1,Profile count,2,0
636,A5100378447,Jing Wang,Jing Wang,2,1441,0.14,2018,2022,1.0,https://orcid.org/0000-0002-1246-991x,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378447,1,Profile count,2,0
637,A5100378493,Jing Wang,Jing Wang,2,137,1.46,2019,2025,0.5,https://orcid.org/0000-0002-3499-8337,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378493,1,Profile count,2,0
638,A5100378506,Jing Wang,Jing Wang,2,64,3.12,2020,2020,1.0,https://orcid.org/0000-0002-4076-9274,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378506,1,Profile count,2,0
639,A5100378570,Jing Wang,Jing Wang,2,391,0.51,2015,2024,4.5,https://orcid.org/0000-0002-7120-0857,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378570,1,Profile count,2,0
640,A5100378575,Jing Wang,Jing Wang,2,623,0.32,2009,2023,0.5,https://orcid.org/0000-0002-7501-8702,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378575,1,Profile count,2,0
641,A5100378594,Jing Wang,Jing Wang,2,337,0.59,2019,2024,8.0,https://orcid.org/0000-0002-8213-3725,High,High confidence: all 2 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100378594,1,Profile count,2,0
